date,max_temperature,avg_hourly_temperature,avg_temperature,min_temperature,max_humidex,min_windchill,max_relative_humidity,avg_hourly_relative_humidity,avg_relative_humidity,min_relative_humidity,max_dew_point,avg_hourly_dew_point,avg_dew_point,min_dew_point,max_wind_speed,avg_hourly_wind_speed,avg_wind_speed,min_wind_speed,max_wind_gust,wind_gust_dir_10s,max_pressure_sea,avg_hourly_pressure_sea,avg_pressure_sea,min_pressure_sea,max_pressure_station,avg_hourly_pressure_station,avg_pressure_station,min_pressure_station,max_visibility,avg_hourly_visibility,avg_visibility,min_visibility,max_health_index,avg_hourly_health_index,avg_health_index,min_health_index,heatdegdays,cooldegdays,growdegdays_5,growdegdays_7,growdegdays_10,precipitation,rain,snow,snow_on_ground,sunrise,sunset,daylight,sunrise_f,sunset_f,min_uv_forecast,max_uv_forecast,min_high_temperature_forecast,max_high_temperature_forecast,min_low_temperature_forecast,max_low_temperature_forecast,solar_radiation,max_cloud_cover_4,avg_hourly_cloud_cover_4,avg_cloud_cover_4,min_cloud_cover_4,max_cloud_cover_8,avg_hourly_cloud_cover_8,avg_cloud_cover_8,min_cloud_cover_8,max_cloud_cover_10,avg_hourly_cloud_cover_10,avg_cloud_cover_10,min_cloud_cover_10
2023-02-21,-21.9,-25.9,-26.6,-31.3,,-42,78,74.9,73.5,69,-25,-29,-29.8,-34.5,29,15.67,17,5,,,103.02,102.1,102.14,101.27,96.38,95.57,95.61,94.85,24100,24100,24100,24100,3.7,2.8,2.9,2.1,44.6,0,0,0,0,0,,,,08:11:00,18:30:00,10.32,8.18,18.5,2,2,-22,-22,-33,-32,,,,,,6,2.8,3,0,,,,
2023-02-20,-14.8,-19.78,-20.39,-26,,-38,86,77.8,79,72,-18.8,-22.8,-23.8,-28.8,23,15.12,13,3,,,101.89,101.53,101.38,100.87,95.49,95.13,95.02,94.55,24100,23500,16900,9700,4,2.5,3,2,38.4,0,0,0,0,0,,,22,08:13:00,18:28:00,10.25,8.22,18.47,1,1,-15,-13,-27,-26,,,,,,8,5,4.5,1,,,,
2023-02-19,-11.4,-13.15,-13.15,-14.9,,-24,86,78.7,78,70,-13.5,-16.1,-15.9,-18.4,31,18.75,18,5,35,5,101.75,101.03,101.08,100.4,95.42,94.73,94.77,94.13,24100,13220.8,13650,3200,2.3,2.2,2.1,2,31.1,0,0,0,0,0.9,,,20,08:15:00,18:26:00,10.18,8.25,18.43,,,-10,-10,-19,-17,,,,,,8,8,8,8,,,,
2023-02-18,-7,-10.82,-10.3,-13.6,,-20,88,79.4,80,72,-8.7,-13.7,-13.2,-17.6,25,12.46,13,1,33,5,101.75,101.19,101.26,100.77,95.43,94.92,94.99,94.54,24100,21033.3,16100,8100,3.3,2.6,2.6,2,28.3,0,0,0,0,0,,,20,08:17:00,18:24:00,10.12,8.28,18.4,,,-6,-6,-25,-25,,,,,,8,7.2,5.5,3,,,,
2023-02-17,-3.2,-6.41,-7.6,-12,,-20,89,80.9,79.5,70,-6.8,-9.2,-10.7,-14.6,28,15.75,15,2,,,101.45,101.16,101.09,100.74,95.2,94.92,94.86,94.52,24100,24100,24100,24100,3.9,2.8,3.1,2.4,25.6,0,0,0,0,,,,20,08:19:00,18:23:00,10.07,8.32,18.38,1,1,-4,-2,-11,-11,,,,,,8,6.1,4.5,1,,,,
2023-02-16,-5.7,-12.99,-14.2,-22.7,,-30,85,76.5,77.5,70,-8.8,-16.3,-16.9,-25,29,18.17,17.5,6,31,16,102.75,101.89,101.74,100.72,96.27,95.5,95.38,94.48,24100,24100,24100,24100,3,2.8,2.7,2.4,32.2,0,0,0,0,0,,,20,08:21:00,18:21:00,10,8.35,18.35,1,1,-5,-5,-5,-5,,,,,,8,6.1,5,2,,,,
2023-02-15,-12.6,-15.39,-16.35,-20.1,,-25,86,76.7,77.5,69,-14.8,-18.6,-18.7,-22.6,20,10.92,11.5,3,,,102.72,102.41,102.42,102.11,96.25,95.99,95.99,95.74,24100,22429.2,14450,4800,2.8,2.5,2.5,2.1,34.4,0,0,0,0,0.2,,,20,08:23:00,18:19:00,9.93,8.38,18.32,1,1,-11,-11,-26,-25,,,,,,8,6.7,4.5,1,,,,
2023-02-14,-1.1,-13.38,-9.9,-18.7,,-26,84,75.6,75.5,67,-5.5,-16.8,-13.3,-21.1,38,20.46,22,6,61,35,102.26,101.49,101,99.73,95.83,95.19,94.74,93.65,24100,23566.7,20100,16100,3,2.4,2.5,2,27.9,0,0,0,0,0,,,20,08:25:00,18:17:00,9.87,8.42,18.28,1,1,-12,-12,-20,-20,,,,,,8,2,4,0,,,,
2023-02-13,1.7,-1.71,-1.6,-4.9,,-11,89,83.1,83,77,-1.7,-4.2,-4.2,-6.8,36,22.33,25,14,41,29,99.96,99.3,99.48,99,93.84,93.23,93.39,92.94,24100,24100,24100,24100,3.5,2.5,2.8,2.1,19.6,0,0,0,0,0,,,20,08:27:00,18:15:00,9.8,8.45,18.25,1,1,3,3,-14,-13,,,,,,7,3.6,3.5,0,,,,
2023-02-12,0.3,-4.05,-4.39,-9.1,,-17,85,77.9,76.5,68,-5.2,-7.4,-8.2,-11.1,25,18.21,18.5,12,31,26,101.22,100.9,100.65,100.08,94.99,94.71,94.47,93.95,24100,24100,24100,24100,2.9,2.7,2.7,2.5,22.4,0,0,0,0,0,,,20,08:29:00,18:13:00,9.73,8.48,18.22,1,1,0,0,-7,-6,,,,,,7,2.8,3.5,0,,,,
